Opinión; Comentario; Sentimiento
1;" ""Los tenis Nike Air Max son súper cómodos los uso todo el día sin problema."""; Positivo
2;" ""El diseño es brutal se ven mejor en persona que en las fotos."""; Positivo
3;" ""Muy buena calidad pero me parecieron un poco costosos."""; Neutro
4;" ""El tallaje es perfecto pedí mi número y me quedaron como un guante."""; Positivo
5;" ""Después de dos semanas ya se empezaron a despegar por un lado."""; Negativo
6;" ""Me encantaron los materiales se nota que son resistentes."""; Positivo
7;" ""Los compré para correr y tienen muy buena amortiguación."""; Positivo
8;" ""Están bonitos pero me parecieron un poco pesados."""; Neutro
9;" ""Para gimnasio están excelentes dan buena estabilidad."""; Positivo
10;" ""Me enviaron un color diferente al que pedí."""; Negativo
11;" ""El logo está bien bordado y no se ve pirata como otras marcas."""; Positivo
12;" ""No me gustaron tanto como los Adidas que tenía antes."""; Negativo
13;" ""Son cómodos pero la suela se ensucia fácil."""; Neutro
14;" ""Excelente compra llegaron rápido y en excelente estado."""; Positivo
15;" ""Los compré para un regalo y mi pareja quedó feliz."""; Positivo
16;" ""La plantilla es acolchada y no me duele el pie como con otros."""; Positivo
17;" ""Muy buena relación calidad-precio."""; Positivo
18;" ""El diseño es clásico combinan con todo."""; Positivo
19;" ""Después de 3 usos la suela se empezó a pelar."""; Negativo
20;" ""No me devolvieron el dinero cuando hice el reclamo."""; Negativo
21;" ""Los recomiendo totalmente son muy cómodos y de buena calidad."""; Positivo
22;" ""El servicio de entrega fue lento y sin número de guía."""; Negativo
23;" ""Buena compra volvería a elegirlos."""; Positivo
24;" ""Se sienten un poco rígidos al principio."""; Neutro
25;" ""Muy satisfecho con la compra superó mis expectativas."""; Positivo
